# Generated by scripts/build_dic_sidecars.py
# Source: /tmp/dectalk-oracle-src/src/dapi/src/dic/Dic_us.txt
# Built form-class mask per dictionary entry: the 29-bit
# Dic_*.txt column plus the homograph-field flags added by
# ``src/dapi/src/dic/dic_comm.c`` (P rows gain
# FC_CHARACTER|FC_HOMOGRAPH, S rows gain FC_HOMOGRAPH),
# matching the masks embedded in the runtime dtalk dictionary.
# Loaded by :func:`dectalk.dic.markers.load_formclass_lexicon`.

'EM 0x00802000
ADVICE 0x00000400
ADVISABILITY 0x00000400
ADVISABLE 0x00000001
ADVISE 0x00020000
ADVISOR 0x00000400
ADVISORY 0x00000401
ADVOCACY 0x00000400
ADVOCATE|P 0x82020000
ADVOCATE|S 0x80000400
ADZ 0x00000400
AEGEAN 0x00000001
AEMILIUS 0x00000400
AEON 0x00000400
AEROMEXICO 0x00000401
AEROSOL 0x00000400
AEROSTAR 0x00000400
AETNA 0x00000400
AFAR 0x00000002
AFFAIR 0x00000400
AFFECT 0x00020000
AFFERENT 0x00000001
AFFIDAVIT 0x00000400
AFFILIATE 0x00000400
AFFIX|P 0x82000400
AFFIX|S 0x80020000
AFFLICT 0x00020000
AFFLUENCE 0x00000400
AFFLUENT 0x00000401
AFGHAN 0x00000401
AFGHANI 0x00000401
AFGHANISTAN 0x00000400
AFICIONADO 0x00000400
AFL-CIO 0x00000400
AFOREMENTIONED 0x00000001
AFORESAID 0x00000001
AFRAID 0x00000001
AFTER 0x00801002
AFTEREFFECT 0x00000400
AFTERGLOW 0x00000400
AFTERNOON 0x00000400
AFTERWARD 0x00804002
AGAIN 0x00000002
AGAINST 0x00801000
AGAPITO 0x00000400
AGARWAL 0x00000400
AGATHA 0x00000400
AGE 0x00020400
AGEE 0x00000400
AGENCY 0x00000400
AGERWALA 0x00000400
AGGLOMERATE 0x00000401
AGGLUTINATE 0x00000001
AGGRAVATE 0x00020000
AGGREGATE 0x00000401
AGNES 0x00000400
AGNESCA 0x00000400
AGNESE 0x00000400
AGNEW 0x00000400
AGNIESZKA 0x00000400
AGO 0x00000003
AGONIZE 0x00020000
AGOSTINO 0x00000400
AGREE 0x00020000
AGUADILLA 0x00000400
AGUILAR 0x00000400
AGUSTIN 0x00000400
AHA 0x00100000
AHEAD 0x00000002
AHMAD 0x00000400
AHMADU 0x00000400
AHMED 0x00000400
AHYA 0x00000400
AIDA 0x00000400
AIKEN 0x00000400
AILEEN 0x00000400
AIM 0x00020400
AIN'T 0x020A0020
AIR 0x00020400
AIRBORNE 0x00000001
AIRES 0x00000400
AIRFLOW 0x00000400
AIRPLANE 0x00000400
AIRPORT 0x00000400
AIRSPACE 0x00000400
AIRWAVE 0x00000400
AISLE 0x00000400
AJAR 0x00000003
AJIT 0x00000400
AKA 0x00000002
AKERS 0x00000400
AKINS 0x00000400
AKIRA 0x00000400
AKITA 0x00000400
AKRON 0x00000400
ALA 0x00000400
ALABAMA 0x00000400
ALAIN 0x00000400
ALAMOS 0x00000400
ALAN 0x00000400
ALAS 0x00100000
ALASKA 0x00000400
ALBA 0x00000400
ALBAN 0x00000400
ALBANIA 0x00000400
ALBANY 0x00000400
ALBATROSS 0x00000400
ALBEIT 0x00804000
ALBERT 0x00000400
ALBERTA 0x00000400
ALBERTO 0x00000400
ALBINA 0x00000400
ALBINO 0x00000400
ALBRECHT 0x00000400
ALBRIGHT 0x00000400
ALBUM 0x00000400
ALBUQUERQUE 0x00000400
ALBURY 0x00000400
ALCHEMIST 0x00000400
ALCHEMY 0x00000400
ALCHOHOL 0x00000400
ALCORN 0x00000400
ALCOTT 0x00000400
ALCOVE 0x00000400
ALDEN 0x00000400
ALDO 0x00000400
ALDRICH 0x00000400
ALDRIDGE 0x00000400
ALEEN 0x00000400
ALEJANDRO 0x00000400
ALESSANDRA 0x00000400
ALESSANDRO 0x00000400
ALETHEA 0x00000400
ALEWIFE 0x00000400
ALEX 0x00000400
ALEXANDER 0x00000400
ALEXANDRA 0x00000400
ALEXANDRE 0x00000400
ALEXANDRIA 0x00000400
ALEXANDROS 0x00000400
ALEXIS 0x00000400
ALF 0x00000400
ALFALFA 0x00000400
ALFIE 0x00000400
ALFIERI 0x00000400
ALFONSO 0x00000400
ALFORD 0x00000400
ALFRED 0x00000400
ALFREDO 0x00000400
ALGAE 0x00000400
ALGERNON 0x00000400
ALGIERS 0x00000400
ALGORITHM 0x00000400
ALI 0x00000400
ALIA 0x00000400
ALIAS 0x00000402
ALIBI 0x00000400
ALICE 0x00000400
ALICIA 0x00000400
ALIEN 0x00000401
ALIENATE 0x00020000
ALIENATION 0x00000400
ALIGN 0x00020000
ALIKE 0x00000003
ALIMENTARY 0x00000001
ALINA 0x00000400
ALINE 0x00000400
ALISA 0x00000400
ALISE 0x00000400
ALISON 0x00000400
ALISTAIR 0x00000400
ALITALIA 0x00000401
ALIVE 0x00000001
ALKALI 0x00000400
ALL 0x00800003
ALL-IN-ONE 0x00000401
ALLAH 0x00000400
ALLAN 0x00000400
ALLARD 0x00000400
ALLEGE 0x00020000
ALLEGIANCE 0x00000400
ALLEGORY 0x00000400
ALLEN 0x00000400
ALLENDE 0x00000400
ALLENTOWN 0x00000400
ALLERGIC 0x00000001
ALLERGIST 0x00000400
ALLERGY 0x00000400
ALLEVIATE 0x00020000
ALLEY 0x00000400
ALLEYWAY 0x00000400
ALLHALLOWS 0x00000400
ALLIANCE 0x00000400
ALLIE 0x00000400
ALLIED 0x00000080
ALLIES 0x00000400
ALLIGATOR 0x00000400
ALLISON 0x00000400
ALLITERATE 0x00020000
ALLOT 0x00020000
ALLOTMENT 0x00000400
ALLOW 0x00020000
ALLOWABLE 0x00000001
ALLOY 0x00020400
ALLURE 0x00020400
ALLY 0x00020400
ALMA 0x00000400
ALMANAC 0x00000400
ALMOND 0x00000400
ALMOST 0x00000002
ALMS 0x00000400
ALMUTH 0x00000400
ALOE 0x00000400
ALOHA 0x00100000
ALONE 0x00000002
ALONG 0x00801000
ALONGSIDE 0x00801002
ALOYSIUS 0x00000400
ALPHA 0x00000401
ALPHONSE 0x00000400
ALREADY 0x00000002
ALRIGHT 0x00000002
ALSO 0x00000002
ALSTON 0x00000400
ALTAR 0x00000400
ALTER 0x00020000
ALTERATION 0x00000400
ALTERCATION 0x00000400
ALTERNATE|P 0x82000001
ALTERNATE|S 0x80020000
ALTERNATION 0x00000400
ALTERNATIVE 0x00000400
ALTHEA 0x00000400
ALTHO 0x00804000
ALTHOUGH 0x00824000
ALTIMETER 0x00000400
ALTITUDE 0x00000400
ALTMAN 0x00000400
ALTO 0x00000400
ALTOGETHER 0x00000002
ALTRUISM 0x00000400
ALUM 0x00000400
ALUMINUM 0x00000400
ALUMNI 0x00000400
ALVARADO 0x00000400
ALVAREZ 0x00000400
ALVARO 0x00000400
ALVEOLAR 0x00000001
ALVIN 0x00000400
ALVINA 0x00000400
ALWAYS 0x00000002
ALYCE 0x00000400
ALYCIA 0x00000400
AM 0x02020020
AMABEL 0x00000400
AMADOR 0x00000400
AMAHL 0x00000400
AMALIA 0x00000400
AMANDA 0x00000400
AMAR 0x00000400
AMARILLO 0x00000400
AMARJEET 0x00000400
AMARYLIS 0x00000400
AMASS 0x00020000
AMATA 0x00000400
AMATEUR 0x00000401
AMBASSADOR 0x00000400
AMBIDEXTROUS 0x00000001
AMBIGUOUS 0x00000001
AMBITION 0x00000400
AMBITIOUS 0x00000001
AMBIVALENCE 0x00000400
AMBIVALENT 0x00000001
AMBLE 0x00020000
AMBROGIO 0x00000400
AMBROSE 0x00000400
AMBROSIA 0x00000400
AMBULANCE 0x00000400
AMBULATORY 0x00000401
AMBUSH 0x00020400
AMC 0x00000400
AMEDEO 0x00000400
AMELIA 0x00000400
AMELIORATE 0x00020000
AMEN 0x00100000
AMENABLE 0x00000001
AMEND 0x00020000
AMERICA 0x00000400
AMERICAN 0x00000001
AMERICANA 0x00000400
AMERICANIZATION 0x00000400
AMERICO 0x00000400
AMERIGO 0x00000400
AMERITECH 0x00000400
AMES 0x00000400
AMIABILITY 0x00000400
AMID 0x00801000
AMILCAR 0x00000400
AMIN 0x00000400
AMINA 0x00000400
AMINO 0x00000001
AMISH 0x00000401
AMMAN 0x00000400
AMMETER 0x00000400
AMMO 0x00000400
AMMONS 0x00000400
AMNESIA 0x00000400
